Operation,Size,List,ProblemID,LargerOP,Problem,Answer
Subtraction,Lg,1,65,1,11-6=?,5
Subtraction,Lg,1,74,2,11-4=?,7
Subtraction,Lg,1,75,1,12-7=?,5
Subtraction,Lg,1,76,1,13-7=?,6
Subtraction,Lg,1,83,1,11-8=?,3
Subtraction,Lg,1,84,1,12-8=?,4
Subtraction,Lg,1,85,2,13-5=?,8
Subtraction,Lg,1,86,2,14-6=?,8
Subtraction,Lg,1,87,2,15-7=?,8
Subtraction,Lg,1,94,1,13-9=?,4
Subtraction,Lg,1,95,2,14-5=?,9
Subtraction,Lg,1,96,1,15-9=?,6
Subtraction,Lg,1,97,2,16-7=?,9
Subtraction,Lg,1,98,2,17-8=?,9
Subtraction,Sm,1,21,2,3-1=?,2
Subtraction,Sm,1,31,1,4-3=?,1
Subtraction,Sm,1,32,1,5-3=?,2
Subtraction,Sm,1,41,2,5-1=?,4
Subtraction,Sm,1,42,2,6-2=?,4
Subtraction,Sm,1,43,1,7-4=?,3
Subtraction,Sm,1,51,1,6-5=?,1
Subtraction,Sm,1,52,2,7-2=?,5
Subtraction,Sm,1,61,2,7-1=?,6
Subtraction,Sm,1,62,2,8-2=?,6
Subtraction,Sm,1,63,1,9-6=?,3
Subtraction,Sm,1,71,2,8-1=?,7
Subtraction,Sm,1,72,1,9-7=?,2
Subtraction,Sm,1,81,1,9-8=?,1
