Operation,Size,List,ProblemID,LargerOP,Problem,Answer
Multiplication,Lg,1,65,1,6x5=?,30
Multiplication,Lg,1,74,2,4x7=?,28
Multiplication,Lg,1,75,1,7x5=?,35
Multiplication,Lg,1,76,1,7x6=?,42
Multiplication,Lg,1,84,2,4x8=?,32
Multiplication,Lg,1,85,1,8x5=?,40
Multiplication,Lg,1,86,2,6x8=?,48
Multiplication,Lg,1,87,1,8x7=?,56
Multiplication,Lg,1,93,2,3x9=?,27
Multiplication,Lg,1,94,2,4x9=?,36
Multiplication,Lg,1,95,1,9x5=?,45
Multiplication,Lg,1,96,2,6x9=?,54
Multiplication,Lg,1,97,2,7x9=?,63
Multiplication,Lg,1,98,1,9x8=?,72
Multiplication,Sm,1,32,1,3x2=?,6
Multiplication,Sm,1,42,2,2x4=?,8
Multiplication,Sm,1,43,1,4x3=?,12
Multiplication,Sm,1,52,2,2x5=?,10
Multiplication,Sm,1,53,1,5x3=?,15
Multiplication,Sm,1,54,1,5x4=?,20
Multiplication,Sm,1,62,2,2x6=?,12
Multiplication,Sm,1,63,2,3x6=?,18
Multiplication,Sm,1,64,2,4x6=?,24
Multiplication,Sm,1,72,1,7x2=?,14
Multiplication,Sm,1,73,2,3x7=?,21
Multiplication,Sm,1,82,1,8x2=?,16
Multiplication,Sm,1,83,2,3x8=?,24
Multiplication,Sm,1,92,1,9x2=?,18
